id,policy_system,sub_policy_system,intervention,featured,confidence_level,help_text,,,
135,Education,,Attending a high quality Head Start program ,,Well-Supported Projection,Effect on a child's future income as a result of attending a high quality Head Start program,,,
145,Education,,Attending a model preschool program (moderate estimate),50%,Well-Supported Projection,Effect on a child's future income as a result of attending a model preschool program (optimistic estimate),,,
150,Education,,Attending a model preschool program (optimistic estimate),,Exploratory Projection,Effect on a child's future income as a result of attending a model preschool program (optimistic estimate),,,
136,Education,,Receiving a childcare voucher (impact on child),,Reasonable Estimate,Effect on child's future income as a result of family receiving a substantial childcare voucher,,,
165,Education,,Receiving a childcare voucher (impact on parent),,Well-Supported Projection,Effect on a household's current budget as a result of receiving a childcare voucher,,,
160,Education,,Participating in a home visiting program ,,,Effect on child's future income as a result of family participating in a home visiting program,,,
76,Education,,Completing high school education,,Well-Supported Projection,Effect on child's future income as a result of completing high school,,,
221,Education,,Increased per pupil spending due to K-12 funding reform,50%,Well-Supported Projection,Effect on child's future income of a 10% increase school funding for 12 years of public schooling,,,
231,Education,,Attending a high quality charter school  (impact on age 24 ed attainment),,Reasonable Estimate,Effect on child's future income as a result of attending a high quality charter school and the impact on age 24 ed attainment,,,
241,Education,,Having a high quality teacher in primary school ,,Reasonable Estimate,Effect on child's future income of having a teacher 1 SD stronger than the norm in primary school. ,,,
246,Education,,Having a high quality teacher in middle school ,,Reasonable Estimate,Effect on child's future income of having a teacher 1 SD stronger than the norm in grades 4 through 8. ,,,
257,Education,,Attending a racially integrated public school ,,Well-Supported Projection,Effect on child's future income as a result of Black and Hispanic children attending a school with many White peers for 5 years,,,
201,Education,,Avoiding repeated school disciplinary actions,,Exploratory Projection,Effect on child's future income as a result of avoiding repeated school disciplinary actions,,,
176,Education,,Receiving high-dosage tutoring,,Well-Supported Projection,Effect on child's future income as a result of receiving high-dosage tutoring,,,
181,Education,,Attending a school that uses the community school model ,,Reasonable Estimate,Effect on child's future income as a result of attending a school that uses the community school model,,,
211,Education,,Receiving mentorship during adolescence moderate,,Well-Supported Projection,Effect on child's future income as a result of receiving mentorship during adolescence (moderate estimate),,,
216,Education,,Receiving mentorship during adolescence optimistic,,Exploratory Projection,Effect on child's future income as a result of receiving mentorship during adolescence (optimistic estimate),,,
191,Education,,Accessing extracurriculars during adolescence (e.g. part-time work) ,,Reasonable Estimate,Effect on child's future income as a result of accessing extracurriculars during adolescence (e.g. part-time work)  ,,,
196,Education,,"Accessing extracurriculars during adolescence (e.g sports, clubs)",,Reasonable Estimate,"Effect on child's future income as a result of accessing extracurriculars during adolescence (e.g sports, clubs)",,,
186,Education,,Participating in career and technical education ,,Well-Supported Projection,Effect on child's future income as a result of participating in career and technical education ,,,
267,Education,,Receiving instruction using the science of reading ,,Reasonable Estimate,Effect on child's future income as a result of receiving instruction using the science of reading ,,,
67,Education,,Pursuing / completing postsecondary education: high school to certificate,,Well-Supported Projection,Effect on child's future income as a result of pursuing / completing postsecondary education: high school to certificate,,,
70,Education,,Pursuing / completing postsecondary education: high school & some college to earning associates,,Well-Supported Projection,Effect on child's future income as a result of pursuing / completing postsecondary education: high school & some college to earning associates,,,
73,Education,,Pursuing / completing postsecondary education: high School & some college to earning a bachelor's,,,Effect on child's future income as a result of pursuing / completing postsecondary education: high School & some college to earning a bachelor's,,,
86,Education,,Gaining eligibility for a Promise Scholarship,,,Effect on child's future income as a result of gaining eligibility for a Promise Scholarship,,,
88,Education,,Having access to traditional financial aid,,,Effect on child's future income as a result of having access to traditional financial aid,,,
79,Education,,Receiving college matching supports ,,,Effect on child's future income as a result of receiving college matching supports ,,,
84,Education,,Receiving college persistence supports ,,,Effect on child's future income as a result of receiving college persistence supports ,,,
82,Education,,Receiving college advising supports,,,Effect on child's future income as a result of receiving college advising supports,,,
458,Education,,Graduating with a degree in a high-paying field of study,,,Effect on child's future income as a result of graduating with a degree in a high-paying field of study,,,
262,Education,,Attending a racially integrated public school (impact on age 24 ed attainment),,,Effect on child's future income as attending a racially integrated public school and the impact on age 24 ed attainment,,,
443,Education,,Attending a high quality college,,,Effect on child's future income as a result of accessing pre-K and other early childhood development opportunities,,,
137,Education,,Accessing pre-K and other early childhood development opportunities,,,Effect on child's future income as a result of receiving instruction using the science of reading ,,,
94,Housing,,"Accessing stable, affordable housing as a child for 5 years",,,"Effect on child's future income as a result of accessing stable, affordable housing as a child for 10 years",,,
95,Housing,,"Accessing stable, affordable housing as a child for 10 years",,,"Effect on child's future income as a result of accessing stable, affordable housing as a child for 5 years",,,
102,Housing,,"Accessing stable, affordable housing as a adult",,,Effect on a household's current budget as a result of accessing affordable housing,,,
96,Housing,,Receiving a housing voucher as a child for 5 years,,,Effect on child's future income as a result of accessing a housing voucher as a child for 5 years,,,
97,Housing,,Receiving a housing voucher as a child for 10 years,,,Effect on child's future income as a result of accessing a housing voucher as a child for 10 years,,,
103,Housing,,Receiving a housing voucher as a adult,,,Effect on a household's current budget as a result of accessing a housing voucher,,,
104,Housing,,Accessing public housing as a adult,,,Effect on a household's current budget as a result of accessing public housing,,,
98,Housing,,Accessing public housing as a child for 5 years,,,Effect on child's future income as a result of accessing public housing as a child for 5 years,,,
99,Housing,,Accessing public housing as a child for 10 years,,,Effect on child's future income as a result of accessing public housing as a child for 10 years,,,
107,Housing,,Benefiting from increased supply of affordable housing as a child for 5 years,50%,,Effect on child's future income as a result of benefiting from an increase supply of affordable housing as a child for 5 years,,,
109,Housing,,Benefiting from increased supply of affordable housing as a child for 10 years,,,Effect on child's future income as a result of benefiting from an increase supply of affordable housing as a child for 10 years,,,
120,Housing,,Benefiting from increased supply of affordable housing as a adult,,,Effect on a household's current budget as a result of benefiting from an increase supply of affordable housing,,,
,Housing,,Receiving down payment assistance as a child for 5 years,,,Effect on child's future income as a result of accessing down payment assistance as a child for 5 years,,,
,Housing,,Receiving down payment assistance as a child for 10 years,,,Effect on child's future income as a result of accessing down payment assistance as a child for 10 years,,,
128,Housing,,Receiving down payment assistance as an adult,,,Effect on a household's current budget as a result of accessing down payment assistance,,,
132,Housing,,Benefiting from sustained community investment initiatives (modest),,,Effect on child's future income as a result of benefiting from sustained community investment (modest estimate),,,
134,Housing,,Benefiting from sustained community investment initiatives (significant),,,Effect on child's future income as a result of benefiting from sustained community investment (significant estimate),,,
13375,Housing,,Moving to a neighborhood with a lower poverty rate (modest),,,Effect on child's future income as a result of moving to a neighborhood with a lower poverty rate as a child (modest estimate),,,
13315,Housing,,Moving to a neighborhood with a lower poverty rate (moderate),,,Effect on child's future income as a result of moving to a neighborhood with a lower poverty rate as a child (moderate estimate),,,
13315,Housing,,Moving to a neighborhood with a lower poverty rate (significant),,,Effect on child's future income as a result of moving to a neighborhood with a lower poverty rate as a child (significant estimate),,,
,Housing,,Increased access to home credit for 5 years,,,Effect on child's future income as a result of increased access to home credit for 5 years,,,
,Housing,,Increased access to home credit for 10 years,,,Effect on child's future income as a result of increased access to home credit for 10 years,,,
307,Healthcare,,Have access to Medicaid in utero,,,Effect on child's future income as a result of having access to Medicaid in utero,,,
312,Healthcare,,"Having access to Medicaid in childhood 
",,,Effect on child's future income as a result of having access to Medicaid in childhood,,,
313,Healthcare,,Being covered by the Children's Health Insurance Program (CHIP),,,Effect on child's future income as a result of being covered by the Children's Health Insurance Program (CHIP),,,
322,Healthcare,,Having access to Medicaid in adulthood,,,Effect on a household's current budget as a result of having access to Medicaid in adulthood,,,
302,Healthcare,,Accessing pre- and post-natal care ,,,Effect on child's future income as a result of having access to pre- and postnatal care,,,
297,Healthcare,,Being born within a healthy birth weight,,,Effect on child's future income as a result of being born within a healthy birth weight,,,
327,Healthcare,,Having access to adequate nutrition and a balanced diet in childhood conservative,,,Effect on child's future income as a result of being born within a healthy birth weight,,,
332,Healthcare,,Having access to adequate nutrition and a balanced diet in childhood optimistic,,,Effect on child's future income as a result of having access to adequate nutrition and a balanced diet in childhood optimistic,,,
337,Healthcare,,Having low exposure to traumatic experiences (including ACES) optimistic,,,Effect on child's future income as a result of having low exposure to traumatic experiences (including ACES) optimistic,,,
342,Healthcare,,Having low exposure to traumatic experiences (including ACES) conservative,,,Effect on child's future income as a result of having low exposure to traumatic experiences (including ACES) conservative,,,
308,Healthcare,,Accessing care for mental and physical health conditions in utero,,,Effect on child's future income as a result of accessing care for mental and physical health conditions in utero,,,
314,Healthcare,,Accessing care for mental and physical health conditions as a child,,,Effect on child's future income as a result of accessing care for mental and physical health conditions as a child,,,
323,Healthcare,,Accessing care for mental and physical health conditions in adulthood,,,Effect on a household's current budget as a result of accessing care for mental and physical health conditions in adulthood,,,
347,Healthcare,,Participating in school breakfast and lunch programs,,,Effect on child's future income as a result of participating in school breakfast and lunch programs,,,
351,Social Safety Net,,Accessing public benefits and programs effect on child,,,Effect on child's future income as a result of accessing public benefits and programs effect on child,,,
"1,498",Social Safety Net,,Accessing public benefits and programs effect on adult,,,Effect on a household's current budget as a result of accessing public benefits and programs effect on adult,,,
389,Social Safety Net,,Receiving a larger Earned Income Tax Credit EITC in childhood (0-18),,,Effect on child's future income as a result of receiving a larger Earned Income Tax Credit EITC in childhood (0-18),,,
"1,493",Social Safety Net,,Receiving a larger Earned Income Tax Credit EITC as an adult,,,Effect on a household's current budget as a result of receiving a larger Earned Income Tax Credit EITC as an adult,,,
390,Social Safety Net,,Receiving a larger Child Tax Credit in childhood (0-18),,,Effect on child's future income as a result of receiving a larger Child Tax Credit in childhood (0-18),,,
"1,494",Social Safety Net,,Receiving a larger Child Tax Credit as an adult ,,,Effect on a household's current budget as a result of receiving a larger Child Tax Credit as an adult ,,,
361,Social Safety Net,,Receiving increased Temporary Assistance for Needy Families in childhood ,,,Effect on child's future income as a result of receiving increased Temporary Assistance for Needy Families in childhood ,,,
"1,488",Social Safety Net,,Receiving increased Temporary Assistance for Needy Families as an adult,,,Effect on a household's current budget as a result of receiving increased Temporary Assistance for Needy Families as an adult,,,
411,Social Safety Net,,Receiving increased Supplemental Nutrition Assistance Program benefits in childhood,,,Effect on child's future income as a result of receiving increased Supplemental Nutrition Assistance Program benefits in childhood,,,
1483,Social Safety Net,,Receiving increased Supplemental Nutrition Assistance Program benefits as an adult,,,Effect on a household's current budget as a result of receiving increased Supplemental Nutrition Assistance Program benefits as an adult,,,
404,Social Safety Net,,Having access to more generous Unemployment Insurance in childhood,,,Effect on child's future income as a result of having access to more generous Unemployment Insurance in childhood,,,
410,Social Safety Net,,Having access to more generous Unemployment Insurance as an adult,,,Effect on a household's current budget as a result of having access to more generous Unemployment Insurance as an adult,,,
417,Social Safety Net,,Not having to provide unpaid care for children,,,Effect on a household's current budget as a result of not having to provide unpaid care for children,,,
54,Employment,,Being represented by a union ,,,Effect on a household's current budget as a result of being represented by a union ,,,
58,Employment,,Benefiting from an increased minimum wage ,,,Effect on a household's current budget as a result of benefiting from an increased minimum wage ,,,
40,Employment,,Obtaining a first full-time job that offers opportunity for advancement,,,Effect on a household's current budget as a result of obtaining a first full-time job that offers opportunity for advancement,,,
44,Employment,,Avoiding involuntary unemployment,,,Effect on a household's current budget as a result of avoiding involuntary unemployment,,,
61,Employment,,Benefiting from competition policy that reduces firm power to markdown wages,,,Effect on a household's current budget as a result of benefiting from competition policy that reduces firm power to markdown wages,,,
438,Employment,,Accessing non-wage employment-based benefits (including healthcare and retirement),,,Effect on a household's current budget as a result of accessing non-wage employment-based benefits (including healthcare and retirement),,,
443,Employment,,Benefitng from stronger anti-discrimination laws (moderate),,,Effect on a household's current budget as a result of benefiting from stronger anti-discrimination laws (moderate),,,
448,Employment,,Benefiting from stronger anti-discrimination laws (aggressive),,,Effect on a household's current budget as a result of benefiting from stronger anti-discrimination laws (aggressive),,,
453,Employment,,Benefiting from guaranteed employment and other full-employment strategies,,,Effect on a household's current budget as a result of benefiting from guaranteed employment and other full-employment strategies,,,
48,Employment,,Receiving job or skills training (moderate),,,Effect on a household's current budget as a result of receiving job or skills training (moderate),,,
49,Employment,,Receiving job or skills training (significant),,,Effect on a household's current budget as a result of receiving job or skills training (significant),,,
272,Banking,,Experiencing financial inclusion (including financial education and access) ,,,Effect on a household's current budget as a result of experiencing financial inclusion (including financial education and access) ,,,
277,Banking,,Having access to a low cost checking accounts ,,,Effect on a household's current budget as a result of having access to a low cost checking accounts ,,,
282,Banking,,Benefiting from regulation of overdraft fees,,,Effect on a household's current budget as a result of benefiting from regulation of overdraft fees,,,
287,Banking,,Benefiting from regulation of fringe lenders (moderate),,,Effect on a household's current budget as a result of benefiting from regulation of fringe lenders (moderate),,,
292,Banking,,Benefiting from regulation of fringe lenders (significant),,,Effect on a household's current budget as a result of benefiting from regulation of fringe lenders (significant),,,
278,Banking,,Benefiting from check cashing fee regulation,,,Effect on a household's current budget as a result of benefiting from check cashing fee regulation,,,
288,Banking,,Having access to prime rate short-term credit,,,Effect on a household's current budget as a result of having access to prime rate short-term credit,,,
